National personal identifier endonym kebab case	National personal identifier exonym kebab case	Country name endonym	Country name exonym English	Country ISO 3166-1 code	Personal identifier name endonym	Personal identifier exonym English	Wikipedia link	Description	Where to find it
bangladesh-jatiyo-porichoy-potro	bangladesh-national-identity-card	বাংলাদেশ	Bangladesh	BD	জাতীয় পরিচয়পত্র (Jatiyo Porichoy Potro, NID)	National Identity Card (NID)	[National Identity Card (Bangladesh)](https://en.wikipedia.org/wiki/National_Identity_Card_(Bangladesh))	Originally 13 digits (or 17 digits including a four-digit year-of-birth prefix); the Smart NID introduced in 2016 standardises the number to 10 digits, randomly generated and issued by the Bangladesh Election Commission.	Smart NID card issued by the Bangladesh Election Commission, voter rolls, the Porichoy verification portal, and most government and banking services.
belarus-identifikatsionnyy-nomer	belarus-personal-identification-number	Беларусь	Belarus	BY	Ідэнтыфікацыйны нумар (ІН) / Идентификационный номер (ИН)	Personal Identification Number	[National identification number — Belarus](https://en.wikipedia.org/wiki/National_identification_number#Belarus)	Fourteen characters in the form GYYMMDDPRRRRC: G encodes sex and century of birth (1 male / 2 female 1800s; 3 male / 4 female 1900s; 5 male / 6 female 2000s; 7 male / 8 female 2100s); YYMMDD is the date of birth; P is a region letter (A Minsk City, B Minsk Region, C Brest, H Gomel, K Grodno, M Mogilev, P Vitebsk, E foreigner); RRRR is a serial; and C is a check digit.	Belarusian internal passport, biometric ID card, social-insurance card, and the единый портал электронных услуг (e-services portal).
belgique-numero-de-registre-national	belgium-numero-de-registre-national	Belgique / België / Belgien	Belgium	BE	Numéro de Registre National / Rijksregisternummer (NRN)	National Register Number (NRN)	[National identification number — Belgium](https://en.wikipedia.org/wiki/National_identification_number#Belgium)	Eleven digits where the first six are the date of birth (YYMMDD), the next three are a serial ordering number (odd for men, even for women), and the last two are a Modulus-97 check digit.	Belgian electronic identity card (eID), SIS social-security card, passport, residence permit, and tax/health correspondence.
bharat-aadhaar	india-aadhaar	भारत	India	IN	आधार (Aadhaar)	Aadhaar	[Aadhaar](https://en.wikipedia.org/wiki/Aadhaar)	Twelve-digit unique identification number issued by the Unique Identification Authority of India (UIDAI) and linked to biometric (fingerprints, iris, photograph) and demographic data; first digit is never 0 or 1, and the number is validated with the Verhoeff check-digit algorithm.	Aadhaar letter / PVC card, e-Aadhaar PDF download, the mAadhaar app, DigiLocker, and the myAadhaar self-service portal.
bolivia-cedula-de-identidad	bolivia-identity-card	Bolivia	Bolivia	BO	Cédula de Identidad (CI)	Identity Card	[Identity document — Bolivia](https://en.wikipedia.org/wiki/Identity_document#Bolivia)	Six- to eight-digit number issued by the Servicio General de Identificación Personal (SEGIP) to every Bolivian citizen and foreign resident; duplicates between departments are disambiguated with a one- or two-letter “complemento” suffix.	Cédula de Identidad plastic card issued by SEGIP; also reused as the Número de Identificación Tributaria (NIT) when registered as a taxpayer.
bosna-i-hercegovina-jedinstveni-maticni-broj-gradjana	bosnia-and-herzegovina-unique-master-citizen-number	Bosna i Hercegovina / Босна и Херцеговина	Bosnia and Herzegovina	BA	Jedinstveni matični broj građana (JMBG) / Јединствени матични број грађана	Unique Master Citizen Number (JMBG)	[Unique Master Citizen Number](https://en.wikipedia.org/wiki/Unique_Master_Citizen_Number)	Thirteen digits in the shared Yugoslav-successor format DDMMYYY-RR-GGGC: seven-digit date of birth (last three digits of the year), two-digit registry / region code (10–19 for Bosnia and Herzegovina — 10 foreigners, 11 Banja Luka, 12 Bihać, 13 Doboj, 14 Goražde, 15 Livno, 16 Mostar, 17 Prijedor, 18 Sarajevo, 19 Tuzla), three digits combining sex and serial (000–499 male, 500–999 female), and a weighted Modulus-11 check digit.	BiH personal identity card (lična karta / osobna iskaznica) and passport issued by the Agency for Identification Documents, Registers and Data Exchange (IDDEEA).
brasil-cadastro-de-pessoas-fisicas	brazil-individual-taxpayer-registry	Brasil	Brazil	BR	Cadastro de Pessoas Físicas (CPF)	Individual Taxpayer Registry (CPF)	[Cadastro de Pessoas Físicas](https://en.wikipedia.org/wiki/Cadastro_de_Pessoas_F%C3%ADsicas)	Eleven digits in the format XXX.XXX.XXX-YY: nine sequential digits in which the ninth encodes the issuing tax region (1: DF/GO/MS/MT/TO; 2: AC/AM/AP/PA/RO/RR; 3: CE/MA/PI; 4: AL/PB/PE/RN; 5: BA/SE; 6: MG; 7: ES/RJ; 8: SP; 9: PR/SC; 0: RS), followed by two check digits computed modulo 11.	CPF card issued by the Receita Federal, the Carteira de Identidade Nacional (CIN) which now consolidates the CPF, RG and other identifiers, payslips, invoices, and the gov.br portal.
bulgaria-edinen-grazhdanski-nomer	bulgaria-edinen-grazhdanski-nomer	България	Bulgaria	BG	Единен граждански номер (ЕГН) / Edinen grazhdanski nomer (EGN)	Uniform Civil Number (EGN)	[Unique citizenship number](https://en.wikipedia.org/wiki/Unique_citizenship_number)	Ten digits in the form YYMMDD-RRRGC: the first six encode the date of birth (with a month offset of +20 for 19th-century births and +40 for 21st-century births), three regional/serial digits, a gender digit (even for male, odd for female), and a weighted Modulus-10 check digit.	Bulgarian national identity card (Лична карта), passport, driving licence, and birth certificate.
canada-social-insurance-number	canada-social-insurance-number	Canada	Canada	CA	Social Insurance Number (SIN) / Numéro d'assurance sociale (NAS)	Social Insurance Number (SIN)	[Social Insurance Number](https://en.wikipedia.org/wiki/Social_Insurance_Number)	Nine-digit number in XXX-XXX-XXX format with a final Luhn check digit. The leading digit identifies the region of original issuance: 1 = Atlantic provinces (NS, NB, NL, PE); 2–3 = Quebec; 4–5 = Ontario; 6 = Prairie provinces and Northern Canada (MB, SK, AB, NT, NU); 7 = Pacific (BC, YT); 8 = unused; 9 = temporary residents; 0 = unused.	Plastic / paper SIN card or confirmation letter from Service Canada, T4 / T5 / T4A slips, tax returns, payroll records, and the Canada Revenue Agency (CRA) “My Account” portal.
cesko-cestovni-pas	czech-republic-passport-number	Česko	Czech Republic	CZ	Cestovní pas	Czech Passport Number	[Czech passport](https://en.wikipedia.org/wiki/Czech_passport)	Usually an eight-digit number (sometimes longer) printed on the data page of the biometric Czech passport issued by the Ministry of the Interior.	Czech passport (cestovní pas) issued by the Ministry of the Interior of the Czech Republic.
cesko-rodne-cislo	czech-republic-birth-number	Česko	Czech Republic	CZ	Rodné číslo (RČ)	Birth Number / National Identification Number	[National identification number — Czech Republic](https://en.wikipedia.org/wiki/National_identification_number#Czech_Republic)	Nine- or ten-digit number in the form YYXXDD/SSSC: YY is the last two digits of the year of birth; XX is the month of birth (01–12 for men, 51–62 for women, with +70 used when serial numbers run out); DD is the day; SSS is a serial number; and C is a check digit (omitted for people born before 1 January 1954). A ten-digit number must be divisible by 11.	Birth certificate, national ID card (občanský průkaz), driving licence, and health-insurance card.
chile-rol-unico-nacional	chile-unique-national-roll	Chile	Chile	CL	Rol Único Nacional (RUN) / Rol Único Tributario (RUT)	Unique National Roll (RUN) / Unique Tax Roll (RUT)	[Rol Único Tributario](https://en.wikipedia.org/wiki/Rol_%C3%9Anico_Tributario)	Seven- or eight-digit number followed by a hyphen and a verification character (a digit 0–9 or the letter K) computed modulo 11 using weights cycling 2 through 7. The RUN is the civil identifier carried by individuals; the RUT is the same number used for tax purposes by both natural and legal persons.	Cédula de Identidad (national ID card) issued by the Servicio de Registro Civil e Identificación, driving licence, passport, and tax filings with the Servicio de Impuestos Internos (SII).
colombia-numero-unico-de-identificacion-personal	colombia-unique-personal-identification-number	Colombia	Colombia	CO	Número Único de Identificación Personal (NUIP) / Cédula de Ciudadanía (CC)	Unique Personal Identification Number (NUIP) / Citizenship Card (CC)	[National identification number — Colombia](https://en.wikipedia.org/wiki/National_identification_number#Colombia)	Numeric identifier issued by the Registraduría Nacional del Estado Civil. Citizens born after 2000 receive a NUIP starting at 1,000,000,000; legacy Cédulas de Ciudadanía are 8–10 digits. Children carry a Tarjeta de Identidad (TI) bearing the same NUIP that becomes the adult Cédula at 18.	Cédula de Ciudadanía (CC) / Cédula Digital, Tarjeta de Identidad for minors, passport, and the Registraduría's online verification service.
costa-rica-cedula-de-identidad	costa-rica-identity-card	Costa Rica	Costa Rica	CR	Cédula de Identidad	Identity Card	[Costa Rican identity card](https://en.wikipedia.org/wiki/Costa_Rican_identity_card)	Nine digits in the form P-NNNN-NNNN: P encodes the province of birth (1 San José, 2 Alajuela, 3 Cartago, 4 Heredia, 5 Guanacaste, 6 Puntarenas, 7 Limón; 8 and 9 reserved for naturalised citizens and special cases), followed by an eight-digit serial. The Cédula number underlies the NITE tax identifier.	Cédula de Identidad issued by the Tribunal Supremo de Elecciones (TSE) / Registro Civil; voter rolls and most government services.
crna-gora-jedinstveni-maticni-broj-gradjana	montenegro-unique-master-citizen-number	Crna Gora / Црна Гора	Montenegro	ME	Jedinstveni matični broj građana (JMBG)	Unique Master Citizen Number (JMBG)	[Unique Master Citizen Number](https://en.wikipedia.org/wiki/Unique_Master_Citizen_Number)	Thirteen-digit JMBG using the Yugoslav-successor scheme with two-digit registry / region codes 20–29 for Montenegro (e.g. 21 Podgorica, 23 Nikšić, 24 Cetinje, 25 Pljevlja, 26 Bijelo Polje, 27 Bar, 28 Herceg Novi, 29 Berane).	Montenegrin biometric ID card (Lična karta) and passport issued by the Ministry of Internal Affairs.
cuba-carne-de-identidad	cuba-identity-card	Cuba	Cuba	CU	Número del Carné de Identidad (CI)	Identity Card Number	[Identity document — Cuba](https://en.wikipedia.org/wiki/Identity_document#Cuba)	Eleven digits in the form YYMMDDCSSSC: six-digit date of birth, a one-digit century / nationality marker (0–5 for the 20th century, 6 for foreigners, 9 for the 21st century), three serial digits whose penultimate digit encodes sex (odd male, even female), and a final check digit.	Carné de Identidad plastic card issued by the Dirección de Identificación, Inmigración y Extranjería (DIIE) of the Ministry of the Interior.
cymru-rhif-y-gwasanaeth-iechyd-gwladol	wales-national-health-service-number	Cymru	Wales	GB-CYM	Rhif y Gwasanaeth Iechyd Gwladol (Rhif GIG)	National Health Service (NHS) Number	[NHS number](https://en.wikipedia.org/wiki/NHS_number)	Ten-digit identifier in 3-3-4 format with a Modulus-11 check digit, shared with England and the Isle of Man and issued at birth or on first registration with a GP.	NHS Wales medical card, GP correspondence, prescriptions, hospital appointment letters, and the NHS Wales App.
cyprus-national-passport-number	cyprus-national-passport-number	Κύπρος / Kıbrıs	Cyprus	CY	Αριθμός Διαβατηρίου / Pasaport Numarası	Cyprus Passport Number	[Cypriot passport](https://en.wikipedia.org/wiki/Cypriot_passport)	Passports issued before 13 December 2010 use the letter 'E' followed by six digits (e.g. E123456); biometric passports issued after that date use the letter 'K' followed by eight digits (e.g. K12345678).	Cyprus passport issued by the Civil Registry Department of the Ministry of the Interior.
daehan-minguk-jumin-deungnok-beonho	south-korea-resident-registration-number	대한민국	South Korea	KR	주민등록번호 (Jumin Deungnok Beonho)	Resident Registration Number (RRN)	[Resident registration number](https://en.wikipedia.org/wiki/Resident_registration_number)	Thirteen digits in the format YYMMDD-SBBBBNC: YYMMDD is the date of birth; S encodes century and sex (1 male / 2 female born 1900–1999; 3 male / 4 female born 2000–2099; 5 male / 6 female for foreign nationals born 1900–1999; 7 male / 8 female for foreign nationals born 2000–2099; 9/0 used pre-1900); BBBB is a region-of-birth and serial code; N is a tiebreaker digit; and C is a weighted Modulus-11 check digit.	Korean Resident Registration Card (주민등록증), driving licence, passport, and government online services such as Government24 (정부24) and Hometax.
danmark-personnummer	denmark-personal-identification-number	Danmark	Denmark	DK	Personnummer (CPR-nummer)	Personal Identification Number (CPR)	[Personal identification number (Denmark)](https://en.wikipedia.org/wiki/Personal_identification_number_(Denmark))	Ten-digit code in the form DDMMYY-SSSC: the first six digits encode the date of birth, the next three are a serial number whose final digit encodes sex (odd for men, even for women), and the last is a Modulus-11 check digit (no longer mandatory for validation of new CPR numbers).	Danish health insurance card (sundhedskort), national ID, driving licence, passport, and most official correspondence.
deutschland-krankenversichertennummer	germany-health-insurance-number	Deutschland	Germany	DE	Krankenversichertennummer (KVNR)	Health Insurance Number (KVNR)	[Krankenversichertennummer](https://de.wikipedia.org/wiki/Krankenversichertennummer)	Lifelong federal health-insurance identifier: one random uppercase letter followed by eight random digits and a Luhn check digit, carried on the electronic health card (elektronische Gesundheitskarte, eGK).	German electronic health insurance card (eGK), insurer correspondence, and prescriptions.
ecuador-cedula-de-identidad	ecuador-identity-card	Ecuador	Ecuador	EC	Cédula de Identidad (CI) / Cédula de Ciudadanía	Identity Card / Citizenship Card	[National identification number — Ecuador](https://en.wikipedia.org/wiki/National_identification_number#Ecuador)	Ten digits: the first two encode the province of issuance (01–24, with 30 for naturalised citizens and 50 for the diplomatic register); the third digit is between 0 and 5 for individuals; the next six are a serial; and the tenth is a Modulus-10 check digit computed with the cycling Luhn-style weights 2,1.	Cédula de Identidad plastic card issued by the Dirección General de Registro Civil, Identificación y Cedulación, and the Cédula Digital wallet.
eesti-isikukood	estonia-personal-identification-code	Eesti	Estonia	EE	Isikukood (IK)	Personal Identification Code (IK)	[National identification number — Estonia](https://en.wikipedia.org/wiki/National_identification_number#Estonia)	Eleven digits in the form GYYMMDDSSSC: G encodes sex and century of birth (1–2 for the 19th century, 3–4 for the 20th, 5–6 for the 21st, with odd numbers male and even female); YYMMDD is the date of birth; SSS is a serial number; and C is a Modulus-11 check digit.	Estonian ID card (ID-kaart), passport, residence permit, driving licence, and digital signing services such as Smart-ID and Mobiil-ID.
eire-individual-health-identifier	ireland-individual-health-identifier	Éire	Ireland	IE	Individual Health Identifier (IHI)	Individual Health Identifier (IHI)	[Healthcare in Republic of Ireland](https://en.wikipedia.org/wiki/Healthcare_in_Republic_of_Ireland)	Ten-digit lifelong identifier created under the 2014 Health Identifiers Act and operated by the Health Service Executive (HSE) to uniquely identify every person using a health or social care service in Ireland.	HSE correspondence, hospital and GP appointment letters, the National Shared Care Record, and patient-facing portals.
el-salvador-documento-unico-de-identidad	el-salvador-unique-identity-document	El Salvador	El Salvador	SV	Documento Único de Identidad (DUI)	Unique Identity Document (DUI)	[Documento Único de Identidad](https://en.wikipedia.org/wiki/Documento_%C3%9Anico_de_Identidad)	Nine digits in the format NNNNNNNN-N: eight sequential digits and a final check digit computed modulo 10. The DUI replaced the legacy Cédula de Identidad Personal, electoral card, and other identifiers in 2001.	DUI plastic card issued by the Registro Nacional de las Personas Naturales (RNPN); voter rolls and most government services.
ellada-dematerialised-securities-system	greece-dematerialised-securities-system	Ελλάδα	Greece	GR	Σύστημα Άυλων Τίτλων (ΣΑΤ)	Dematerialised Securities System (DSS) Investor Share Code	[Central Securities Depository](https://en.wikipedia.org/wiki/Central_Securities_Depository)	Ten-digit investor identifier linked to personal details (name, identity-card number, passport number, tax registration number); the investor share is the account record held in the DSS operated by the Hellenic Central Securities Depository (ATHEXCSD).	Account statements and confirmations issued by the Hellenic Central Securities Depository (ATHEXCSD) and by the investor's appointed operator (broker or bank).
england-national-health-service-number	england-national-health-service-number	England	England	GB-ENG	National Health Service (NHS) Number	National Health Service (NHS) Number	[NHS number](https://en.wikipedia.org/wiki/NHS_number)	Ten-digit number in 3-3-4 format with a Modulus-11 check digit, allocated through the Personal Demographics Service and used as the key patient identifier across the English NHS.	NHS medical card, GP correspondence, prescriptions, hospital letters, the NHS App and NHS login, and online services such as patient.nhs.uk.
espana-codigo-de-identificacion-fiscal	spain-tax-identification-number	España	Spain	ES	Código de Identificación Fiscal (CIF) / Número de Identificación Fiscal (NIF)	Tax Identification Number	[VAT identification number — Spain](https://en.wikipedia.org/wiki/VAT_identification_number#Spain)	Nine characters: eight digits plus a control letter (the letters I, Ñ, O, and U are not used). Example: 99111222M. For Spanish citizens the NIF equals the DNI; foreign residents use the NIE (leading letter X, Y, or Z). Since 2008 the CIF form is reserved for legal entities, while NIF designates natural persons.	Spanish national identity card (DNI), the residence card (NIE) for foreign residents, the driving licence, and the social security card.
espana-tarjeta-sanitaria-individual	spain-individual-health-card	España	Spain	ES	Tarjeta Sanitaria Individual (TSI)	Individual Health Card (TSI)	[Tarjeta sanitaria individual](https://es.wikipedia.org/wiki/Tarjeta_sanitaria_individual)	Individual health card issued by the autonomous regional health administrations and INGESA, linked to the unique CIP-SNS code (Código de Identificación Personal del Sistema Nacional de Salud) and valid throughout Spain's National Health System.	Plastic Tarjeta Sanitaria Individual card issued by the regional health service, prescriptions, hospital identity bands, and the Mi Carpeta Ciudadana portal.
ethiopia-fayda	ethiopia-fayda-national-id	ኢትዮጵያ	Ethiopia	ET	ፋይዳ ብሔራዊ መታወቂያ (Fayda)	Fayda National ID	[Ethiopian identity card](https://en.wikipedia.org/wiki/Ethiopian_identity_card)	Twelve-digit Fayda Identity Number (FIN) assigned by the National ID Programme (NIDP) on the Modular Open-Source Identity Platform (MOSIP); linked to fingerprint and iris biometrics and rolled out from 2023 as a universal digital identifier replacing the older Kebele ID.	Fayda National ID card and the Fayda e-ID app issued by the National ID Programme of Ethiopia.
france-numero-d-identification-au-repertoire	france-social-security-number	France	France	FR	Numéro d'Identification au Répertoire (NIR)	French Social Security Number (NIR)	[Numéro de sécurité sociale en France](https://fr.wikipedia.org/wiki/Num%C3%A9ro_de_s%C3%A9curit%C3%A9_sociale_en_France)	Thirteen-digit “meaningful” code plus a two-digit check key, managed by INSEE in the Répertoire National d'Identification des Personnes Physiques (RNIPP). It encodes sex (1 male, 2 female), year and month of birth, INSEE département and commune of birth, and a serial number; commonly called the French social security number.	Carte Vitale health insurance card, payslips, tax forms, the Ameli health portal, France Connect, and pension correspondence.
ghana-card-personal-identification-number	ghana-card-personal-identification-number	Ghana	Ghana	GH	Ghana Card Personal Identification Number (PIN)	Ghana Card Personal Identification Number (PIN)	[Ghana Card](https://en.wikipedia.org/wiki/Ghana_Card)	Personal Identification Number printed on the Ghana Card in the format GHA-NNNNNNNNN-X: the ISO 3166-1 alpha-3 code GHA, nine random digits, and a check character. Issued by the National Identification Authority (NIA) under the 2008 National Identification Authority Act.	Ghana Card (national biometric ID card) issued by the National Identification Authority; required for SIM-card registration, banking (linked to the Tax Identification Number), passport applications, and the electoral roll.
guatemala-documento-personal-de-identificacion	guatemala-personal-identification-document	Guatemala	Guatemala	GT	Documento Personal de Identificación (DPI)	Personal Identification Document (DPI)	[Documento Personal de Identificación](https://es.wikipedia.org/wiki/Documento_Personal_de_Identificaci%C3%B3n)	Thirteen-digit Código Único de Identificación (CUI) in the form NNNN-NNNNN-NNNN: a four-digit serial within the local registry, a five-digit running serial including a check digit, and a four-digit municipality / department code.	DPI plastic card issued by the Registro Nacional de las Personas (RENAP); voter rolls.
honduras-documento-nacional-de-identificacion	honduras-national-identification-document	Honduras	Honduras	HN	Documento Nacional de Identificación (DNI)	National Identification Document (DNI)	[Identity document — Honduras](https://en.wikipedia.org/wiki/Identity_document#Honduras)	Thirteen digits in the format DDDD-YYYY-NNNNN: DDDD encodes the department and municipality of birth, YYYY is the year of birth, and NNNNN is a serial within that year and locality.	DNI plastic card issued by the Registro Nacional de las Personas (RNP); voter rolls and most government services.
hrvatska-osobni-identifikacijski-broj	croatia-osobni-identifikacijski-broj	Hrvatska	Croatia	HR	Osobni identifikacijski broj (OIB)	Personal Identification Number (OIB)	[Personal identification number (Croatia)](https://en.wikipedia.org/wiki/Personal_identification_number_(Croatia))	Eleven-digit code: ten randomly assigned digits with no information about the holder, followed by an ISO 7064 MOD 11,10 check digit. OIB is unique, unchangeable, and unrepeatable, and is the permanent identification code of every Croatian citizen and every legal person headquartered in Croatia.	Croatian national identity card (Osobna iskaznica), passport, driving licence, tax records (Porezna uprava lookup), and most personal documents.
indonesia-nomor-induk-kependudukan	indonesia-population-identification-number	Indonesia	Indonesia	ID	Nomor Induk Kependudukan (NIK)	Population Identification Number (NIK)	[Indonesian identity card](https://en.wikipedia.org/wiki/Indonesian_identity_card)	Sixteen digits in the form PPRRCCDDMMYYNNNN: PP is the province code, RR is the regency/city (kabupaten/kota) code, CC is the sub-district (kecamatan) code, DDMMYY is the date of birth (with +40 added to the day for women), and NNNN is a serial number issued by the local civil-registration office.	Kartu Tanda Penduduk elektronik (KTP-el) issued by the Directorate General of Population and Civil Registration (Dukcapil), Kartu Keluarga (family card), tax records, and the Identitas Kependudukan Digital (IKD) app.
iran-shomareh-melli	iran-national-number	ایران	Iran	IR	شماره ملی (Shomāreh Mellī) / کد ملی (Kod Mellī)	National Number / National Code	[Iranian National Identification Number](https://en.wikipedia.org/wiki/Iranian_National_Identification_Number)	Ten digits where the first three encode the city or shahrestan of registration, the next six are a serial number, and the final digit is a check digit computed by weighted multiplication (10,9,8,7,6,5,4,3,2) modulo 11 (a remainder of 0 or 1 maps directly, otherwise C = 11 − remainder).	Iranian National Identity Card (کارت ملی, Kart-e Mellī), the civil birth booklet (شناسنامه, Shenāsnāmeh), and the My Iran (دولت همراه) services portal.
iraq-bitaqat-al-muwatin	iraq-national-card	العراق	Iraq	IQ	البطاقة الوطنية الموحدة (Bitāqat al-Muwāṭin al-Muwaḥḥada)	Unified National Card	[Iraqi National Card](https://en.wikipedia.org/wiki/Iraqi_National_Card)	Twelve-digit Iraqi National Card number issued by the General Directorate of Nationality from 2015; consolidates the older Civil Status Identity Card (Bitāqat al-Aḥwāl al-Madaniyya) and Nationality Certificate (Shahādat al-Jinsiyya) into a single biometric card.	Unified National Card (البطاقة الوطنية الموحدة) issued by the General Directorate of Nationality of the Ministry of Interior.
island-kennitala	iceland-personal-identity-code	Ísland	Iceland	IS	Kennitala	Personal Identity Code	[Kennitala](https://en.wikipedia.org/wiki/Kennitala)	Ten-digit identifier in the form DDMMYY-RRCC: the first six digits are the date of birth, the next two are a random serial, then a Modulus-11 check digit, and a final digit denoting the century of birth (9 for 19th, 0 for 20th, 1 for 21st).	Icelandic National Registry (Þjóðskrá Íslands) record, national ID card, passport, driving licence, and all official forms and contracts.
italia-codice-fiscale	italy-fiscal-code	Italia	Italy	IT	Codice Fiscale (CF)	Italian Fiscal Code (CF)	[Italian fiscal code](https://en.wikipedia.org/wiki/Italian_fiscal_code)	Sixteen-character alphanumeric code issued by the Agenzia delle Entrate, derived from surname (3 letters), given name (3 letters), date of birth and sex (5 alphanumeric characters with day +40 for women), place of birth (4-character Belfiore code), and a final check letter. Example: RSSMRA62B25E205Y.	Codice Fiscale paper card or Tessera Sanitaria (national health-service card), which carries the fiscal code on a magnetic stripe.
jamaica-taxpayer-registration-number	jamaica-taxpayer-registration-number	Jamaica	Jamaica	JM	Taxpayer Registration Number (TRN)	Taxpayer Registration Number (TRN)	[Identity document — Jamaica](https://en.wikipedia.org/wiki/Identity_document#Jamaica)	Nine-digit unique number issued by Tax Administration Jamaica (TAJ) to every Jamaican citizen, resident, and registered organisation; serves as the de facto national identifier pending the rollout of the National Identification System (NIDS).	TRN card issued by Tax Administration Jamaica (TAJ); driving licence; bank-account opening; SIM-card registration.
